nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
CATOLÉ DO ROCHA,2023,116805078.21,115276781.74,110987702.86,5817375.35
CATOLÉ DO ROCHA,2024,127493364.42,125351123.6,120868495.59,6624868.83
CATOLÉ DO ROCHA,2025,143923675.53,143150074.82,137108526.24,6815149.29
CATURITÉ,2023,33992666.26,33989616.26,33516513.81,476152.45
CATURITÉ,2024,39992561.46,39923077.2,38368049.86,1624511.6
CATURITÉ,2025,39631184.1,39035365.49,37953185.6,1677998.5
CONCEIÇÃO,2023,79192831.51,79192831.51,74188871.92,5003959.59
CONCEIÇÃO,2024,92606127.84,92087803.96,90313370.64,2292757.2
CONCEIÇÃO,2025,98987136.43,98987136.43,95533894.91,3453241.52
CONDADO,2023,33405527.71,33314770.67,32854013.65,551514.06
CONDADO,2024,40105049.02,38812523.38,38627606.66,1477442.36
CONDADO,2025,44134678.34,43009316.75,42748967.44,1385710.9
CONDE,2023,207676935.37,197581496.82,188129822.33,19547113.04
CONDE,2024,206646998.84,205620713.74,203080154.79,3566844.05
CONDE,2025,242138248.94,238966710.92,233240972.24,8897276.7
CONGO,2023,32184019.67,31944624.5,31175835.46,1008184.21
CONGO,2024,42276946.1,41897046.1,41887288.1,389658.0
CONGO,2025,48654485.3,48223360.48,47188625.2,1465860.1
COREMAS,2023,57087506.24,56602370.08,56578297.08,509209.16
COREMAS,2024,84130368.96,84124717.72,84019234.12,111134.84
COREMAS,2025,91137002.76,91106454.73,89073037.46,2063965.3
COXIXOLA,2023,21840259.39,21507346.45,20583707.56,1256551.83
COXIXOLA,2024,25975721.94,25763627.75,25437724.16,537997.78
COXIXOLA,2025,29543193.06,29527899.81,28299783.63,1243409.43
CRUZ DO ESPÍRITO SANTO,2023,82122117.81,82110737.81,73859450.92,8262666.89
CRUZ DO ESPÍRITO SANTO,2024,86254133.17,86254133.17,84407798.92,1846334.25
CRUZ DO ESPÍRITO SANTO,2025,104927832.88,104061060.33,100523297.45,4404535.43
CUBATI,2023,42805004.18,42262155.86,37645684.87,5159319.31
CUBATI,2024,52803095.38,52505095.04,49839427.65,2963667.73
CUBATI,2025,63513668.43,63227541.96,60564016.2,2949652.23
CUITÉ,2023,100233380.67,99967195.63,95846751.61,4386629.06
CUITÉ,2024,124134891.48,122287826.17,120546534.45,3588357.03
CUITÉ,2025,125791995.52,123569602.85,118646292.05,7145703.47
CUITÉ DE MAMANGUAPE,2023,36657127.69,36648351.24,35514093.18,1143034.51
CUITÉ DE MAMANGUAPE,2024,54437095.12,54436078.17,53330791.53,1106303.59
CUITÉ DE MAMANGUAPE,2025,54064279.78,53819354.18,53020084.44,1044195.34
CUITEGI,2023,40605808.33,40460164.69,37739265.7,2866542.63
CUITEGI,2024,49953080.83,49904745.83,47695466.04,2257614.79
CUITEGI,2025,41452355.9,40618548.28,40257396.11,1194959.79
CURRAL DE CIMA,2023,39671977.66,39665940.43,36623368.29,3048609.37
CURRAL DE CIMA,2024,52357125.08,52357125.08,52357125.08,0.0
CURRAL DE CIMA,2025,47074214.85,44770847.81,44436494.2,2637720.65
CURRAL VELHO,2023,22440895.63,22440895.13,22247899.55,192996.08
CURRAL VELHO,2024,35392234.28,35363965.55,33536273.88,1855960.4
CURRAL VELHO,2025,36240527.59,36240527.59,35963972.15,276555.44
DAMIÃO,2023,28040218.03,27985901.38,26535500.4,1504717.63
DAMIÃO,2024,35292396.15,33902687.05,33224921.21,2067474.94
DAMIÃO,2025,38143193.22,37930893.42,36806799.13,1336394.09
DESTERRO,2023,45852316.89,45565146.43,44975561.47,876755.42
DESTERRO,2024,59633957.09,59633957.09,59599343.56,34613.53
DESTERRO,2025,64727556.89,64719354.66,63972371.8,755185.09
DIAMANTE,2023,35383569.87,34977845.15,33699850.22,1683719.65
DIAMANTE,2024,40150624.79,40150624.09,39544355.69,606269.1
DIAMANTE,2025,44567806.15,44412720.15,43080765.82,1487040.33
DONA INÊS,2023,57218235.26,57137471.21,56306004.62,912230.64
DONA INÊS,2024,70227615.45,70055734.44,68050145.08,2177470.37
DONA INÊS,2025,68941060.14,68716476.72,65271016.53,3670043.61
DUAS ESTRADAS,2023,28333422.09,28323702.09,26967652.37,1365769.72
DUAS ESTRADAS,2024,31107942.72,31044299.04,30650687.3,457255.42
DUAS ESTRADAS,2025,34814965.79,34526343.79,33793390.51,1021575.28
EMAS,2023,24352299.91,24302547.84,22224901.42,2127398.49
EMAS,2024,31870187.04,31338586.31,29824234.16,2045952.88
EMAS,2025,37127911.17,37079291.74,35349128.68,1778782.49
ESPERANÇA,2023,156596431.28,151245739.78,146636996.55,9959434.73
ESPERANÇA,2024,202567878.78,197763332.64,191084970.3,11482908.48
ESPERANÇA,2025,210365052.59,198673903.31,193108543.97,17256508.62
FAGUNDES,2023,46291812.01,46291812.01,39986485.98,6305326.03
FAGUNDES,2024,52754699.53,52754699.53,52485205.97,269493.56
FAGUNDES,2025,58628610.89,55546570.08,55518925.55,3109685.34
FREI MARTINHO,2023,24587250.98,23552375.09,23369349.77,1217901.21
FREI MARTINHO,2024,28772269.79,28703345.98,28670500.87,101768.92
FREI MARTINHO,2025,32781131.47,32727536.41,32713399.91,67731.56
GADO BRAVO,2023,38574279.58,38574279.58,36902582.94,1671696.64
GADO BRAVO,2024,52753529.93,52753529.93,51754814.16,998715.77
GADO BRAVO,2025,68090001.02,67592177.53,66313552.33,1776448.69
GUARABIRA,2023,210908606.15,210206720.74,210048101.01,860505.14
GUARABIRA,2024,240379840.37,239721829.36,239685813.23,694027.14
GUARABIRA,2025,264902911.96,264632394.03,262508951.64,2393960.32
GURINHÉM,2023,81098594.15,81057494.15,76741261.89,4357332.26
GURINHÉM,2024,91102368.38,90897845.53,89409002.27,1693366.11
GURINHÉM,2025,87907854.84,87899879.84,86034511.72,1873343.12
GURJÃO,2023,26847071.33,26834831.94,25425703.46,1421367.87
GURJÃO,2024,29243223.67,28672984.94,28519530.79,723692.88
GURJÃO,2025,34097037.65,32895812.78,32844953.95,1252083.7
IBIARA,2023,28220308.12,27815295.23,26347875.41,1872432.71
IBIARA,2024,32615011.68,32597461.68,32353816.89,261194.79
IBIARA,2025,36877859.43,36756479.43,35833798.7,1044060.73
IGARACY,2023,32772566.86,32547761.98,32222999.72,549567.14
IGARACY,2024,38330119.2,38076719.19,37925730.35,404388.85
IGARACY,2025,37194076.42,37187648.4,36864904.93,329171.49
IMACULADA,2023,44964703.19,44963365.19,44189204.4,775498.79
IMACULADA,2024,57091719.14,56659339.34,55832186.93,1259532.21
IMACULADA,2025,63089583.88,63081483.88,62654126.64,435457.24
INGÁ,2023,96980615.47,92823999.48,87158824.8,9821790.67
INGÁ,2024,103851099.86,103731067.26,100900043.32,2951056.54
INGÁ,2025,110072884.1,108834467.37,107063796.47,3009087.63
ITABAIANA,2023,85188201.27,85058981.25,82476914.73,2711286.54
ITABAIANA,2024,90027794.45,89841335.06,89616795.77,410998.68
ITABAIANA,2025,100586810.05,100583480.05,99206961.85,1379848.2
ITAPORANGA,2023,88582485.57,88582485.57,84133401.1,4449084.47
ITAPORANGA,2024,102104866.76,101517102.41,97613163.72,4491703.04
ITAPORANGA,2025,112035997.47,109387723.91,107959014.88,4076982.59
ITAPOROROCA,2023,72707594.67,72300811.17,69702282.94,3005311.73
ITAPOROROCA,2024,100018933.45,99786762.81,96921255.44,3097678.01
ITAPOROROCA,2025,104630697.85,104574233.95,101436885.68,3193812.17
ITATUBA,2023,50820761.81,50687871.05,50515438.82,305322.99
ITATUBA,2024,57406190.9,57389460.9,54543243.33,2862947.57
ITATUBA,2025,53773763.75,52486141.69,50935277.76,2838485.99
